               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12428,            0.030556,            0.031144,          0.00016197,            0.021739,          8.6968e-05,          1.7394e-05,            0.086424,            0.026564,            0.021957,              0.0982,              0.0002,              0.0002
                   1,             0.10709,            0.030774,            0.025995,           0.0002791,            0.043478,          0.00018262,          1.8262e-05,             0.08372,            0.026483,             0.02155,            0.095498,          0.00049752,          0.00049752
                   2,             0.11844,            0.030138,            0.032491,          0.00060308,             0.11473,          0.00044484,          0.00010679,            0.079029,            0.026755,            0.020973,            0.092792,          0.00079208,          0.00079208
                   3,             0.11108,            0.031443,            0.029991,           0.0026035,             0.61594,           0.0041836,             0.00106,            0.067517,            0.027816,            0.020044,            0.090084,           0.0010837,           0.0010837
                   4,            0.095342,            0.032712,             0.02944,           0.0033375,              0.8913,            0.027926,           0.0066135,            0.046338,            0.029345,            0.019202,            0.087372,           0.0013723,           0.0013723
                   5,               0.069,            0.030252,            0.028061,           0.0033251,             0.97826,             0.04474,            0.010949,            0.038764,            0.029572,             0.01797,            0.084658,           0.0016579,           0.0016579
                   6,            0.065267,            0.032604,            0.021302,           0.0033211,                   1,            0.096099,            0.023495,            0.036014,              0.0289,            0.017026,            0.081941,           0.0019406,           0.0019406
                   7,            0.073055,            0.035872,            0.022157,           0.0033209,                   1,             0.15813,            0.032429,            0.036337,            0.028036,            0.016664,             0.07922,           0.0022203,           0.0022203
                   8,            0.051322,            0.031912,            0.022373,            0.020027,             0.97826,             0.44492,             0.15973,            0.033183,            0.026636,            0.015202,            0.076497,            0.002497,            0.002497
                   9,            0.070015,            0.035436,            0.022188,              0.1083,                   1,             0.32868,             0.12799,            0.031346,            0.025676,            0.014313,            0.073771,           0.0027708,           0.0027708
                  10,            0.066026,            0.032473,            0.024233,              0.7233,             0.57303,             0.77858,             0.30963,            0.029208,            0.024727,            0.013258,            0.071042,           0.0030416,           0.0030416
                  11,            0.058205,            0.030136,            0.021718,             0.26508,             0.47826,              0.6337,             0.26103,            0.037501,            0.021519,            0.013867,            0.068309,           0.0033094,           0.0033094
                  12,            0.060361,            0.027801,            0.024036,             0.37412,             0.56159,             0.70492,             0.32066,            0.026221,            0.022858,            0.013163,            0.065574,           0.0035743,           0.0035743
                  13,            0.046786,            0.027293,             0.01673,             0.26042,             0.36957,             0.42609,             0.12459,            0.053795,            0.018923,            0.013111,            0.062836,           0.0038362,           0.0038362
                  14,            0.058203,            0.022799,            0.021851,              0.4474,             0.75604,             0.64739,             0.25093,            0.040704,            0.019925,            0.012873,            0.060095,           0.0040951,           0.0040951
                  15,            0.053852,            0.024237,            0.020398,             0.27366,             0.32609,             0.35985,             0.15528,            0.037697,            0.019169,            0.012517,            0.057351,            0.004351,            0.004351
                  16,            0.062403,            0.024386,            0.016641,            0.040043,             0.77415,              0.0651,             0.01299,            0.061323,            0.017742,            0.011617,            0.054604,            0.004604,            0.004604
                  17,            0.056967,            0.019287,            0.013857,             0.64568,             0.94181,             0.93849,             0.32448,            0.036527,            0.017005,            0.010347,            0.051854,            0.004854,            0.004854
                  18,            0.067091,            0.022812,            0.019524,             0.98708,             0.45652,             0.68677,             0.24152,            0.036974,            0.016975,            0.011572,            0.049101,            0.005101,            0.005101
                  19,            0.047641,            0.016476,            0.011466,             0.54831,             0.76994,             0.87994,             0.26121,             0.05043,            0.015287,            0.010284,            0.046345,           0.0053451,           0.0053451
                  20,            0.065757,            0.018676,            0.014439,             0.43142,             0.87056,             0.64407,             0.17892,            0.049724,            0.014292,           0.0083256,            0.043586,           0.0055862,           0.0055862
                  21,            0.059682,            0.020169,            0.018329,             0.55341,             0.88078,             0.94933,             0.32223,            0.043954,            0.014336,           0.0057592,            0.040824,           0.0058243,           0.0058243
                  22,            0.045108,            0.017262,           0.0096345,             0.30421,             0.70531,             0.44399,             0.12899,            0.052922,            0.012975,           0.0033168,            0.038059,           0.0060595,           0.0060595
                  23,             0.06612,             0.01894,            0.011495,             0.63168,               0.907,             0.93238,               0.418,            0.042522,            0.012564,           0.0033346,            0.035292,           0.0062917,           0.0062917
                  24,            0.067162,            0.019226,             0.01324,             0.73231,             0.86909,             0.83846,             0.35552,            0.048904,            0.011886,             0.00312,            0.032521,           0.0065209,           0.0065209
